"ID","question","rate","answer","sessionSurvey","session","userCookieID",
"6184","7","4",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6185","8","4",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6186","9","4",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6187","10","4",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6188","11","4",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6189","12","4",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6190","13","3",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6191","14","3",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6192","15","2",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6193","16","2",,"1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6194","18",,"The internet didn't work at the top floor.. that's really bad!","1","25","KNKFHXCATY9JIOY9XB5FIAIYBE6MCWY1",
"6195","12","4",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6196","11","4.5",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6197","10","4",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6198","9","5",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6199","8","5",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6200","7","4.5",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6201","14","5",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6202","15","4",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6203","13","4.5",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6204","16","4",,"1","122","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6205","12","4",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6206","11","4.5",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6207","10","4",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6208","9","5",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6209","8","5",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6210","7","4",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6211","13","4",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6212","14","5",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6213","15","4",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6214","16","4",,"1","123","Y7VU9RBM8WB1704MH67D3C72YH9DJD7P",
"6215","12","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6216","11","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6217","10","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6218","9","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6219","8","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6220","7","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6221","13","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6222","14","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6223","15","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6224","16","5",,"1","122","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6225","12","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6226","11","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6227","10","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6228","9","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6229","8","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6230","7","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6231","13","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6232","14","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6233","15","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6234","16","5",,"1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6235","18",,"Peut être prévoir une pré session pour ceux qui ne maîtrise pas le javascript. 
","1","123","LIO02UAQ5PFXOQIEPM49ETQQIBI67EQC",
"6236","14","3.5",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6237","13","3",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6238","7","5",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6239","12","3.5",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6240","11","3",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6241","10","4",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6242","9","4",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6243","8","2.5",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6244","15","2.5",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6245","16","3",,"1","122","YQI8HQ4JXXYAOOT469F4KC87RSOYVYY7",
"6246","7","4",,"1","25","J23YQAW6RBGVHQFAA5ORYS07G471FVDC",
"6247","8","4",,"1","25","J23YQAW6RBGVHQFAA5ORYS07G471FVDC",
"6248","9","4",,"1","25","J23YQAW6RBGVHQFAA5ORYS07G471FVDC",
"6249","10","3",,"1","25","J23YQAW6RBGVHQFAA5ORYS07G471FVDC",
"6250","11","4",,"1","25","J23YQAW6RBGVHQFAA5ORYS07G471FVDC",
"6251","12","4",,"1","25","J23YQAW6RBGVHQFAA5ORYS07G471FVDC",
