"ID","name","event","room","startTime","endTime","sessionDate","isSponsored","isActivity","tags","description","sessionSurvey","sessionsFavoritedCount","answersInputedCount","averageRates",
"24","Welcome Coffee & Breakfast","2","","08:30","09:30","2012-11-14T12:00:00.000Z",,"true",,,"1",,"0",,
"2","Pre-Class continues (English)","2","Européen","13:30","17:30","2012-11-14T12:00:00.000Z",,"false","Pre-Class continues (English)","This training has been specially created to give an overview of the possibilities 4D offers in terms of Web develompent. Today's users have high expectations in terms of application mobility. They need to access their applications from wherever they are, anywhere they may be. The use of the iPad, iPhone and Android devices has futhermore built up these expectations. The 4D pre-class scheduled for Wednesday, 14 November will deliver all the information you need to ""webify"" your existing 4D solutions for use with all the smartphones and tablets on the market.   Topics include: Understanding 4D's web server Back-end development Front-end development Frameworks Developing for desktop web Developing for mobile web Session Management Security 4D Tags","1","2","10","2.15",
"122","Pre-Class: Web & Mobile for 4D (French)","2","Parisien","09:30","12:30","2012-11-14T12:00:00.000Z",,,"4D Pre-Class (French)","This training has been specially created to give an overview of the possibilities 4D offers in terms of Web develompent. Today's users have high expectations in terms of application mobility. They need to access their applications from wherever they are, anywhere they may be. The use of the iPad, iPhone and Android devices has futhermore built up these expectations. The 4D pre-class scheduled for Wednesday, 14 November will deliver all the information you need to ""webify"" your existing 4D solutions for use with all the smartphones and tablets on the market.   Topics include: Understanding 4D's web server Back-end development Front-end development Frameworks Developing for desktop web Developing for mobile web Session Management Security 4D Tags","1","3","132","4.473076923076923",
"21","4D Product Keynote","2","Salon France","09:00","10:30","2012-11-15T10:32:00.000Z",,"false","Product Keynote","4D Product Keynote","1","1","172","4.385294117647059",
"5","4D v13 – Wakanda Communication ","2","France","16:15","17:10","2012-11-15T21:58:00.000Z",,,"Web, Development","As soon as a 4D developer sees Wakanda or attends a Wakanda presentation, one of the first questions asked is ""How can I exchange data between 4D and Wakanda?""   This session explores the different ways that exist to communicate as of today (November 2012) between the current version of 4D (4D v13) and Wakanda (production version 3.0). After having explored the main principles (REST, JSON, etc.) we will study this communication, which – good news! – will have to be coded. 4D code on the 4D side, and JavaScript code on the Wakanda side. It's good news because we are developpers! We want, we need, and we love to code, right?","1","3","90","4.388888888888889",
"6","Phoenix: 20 Years at Lawrence Livermore National Lab ","2","Crystal","10:00","11:00","2012-10-24T22:36:00.000Z",,,"Phoenix","Phoenix: 20 Years at Lawrence Livermore National Lab ","1","1","0","4.133333333333334",
"8","Impact Marketing for Small Business","2","Gold","10:00","11:00","2012-10-24T21:19:00.000Z",,,"Marketing","Impact Marketing for Small Business","1","1","0","4.8125",
"9","Monitoring 4D Server with Enterprise Tools","2","France","14:00","14:55","2012-11-15T19:30:00.000Z",,,"Deployment","Large IT departments use monitoring software such as Nagios or Icinga to monitor IT infrastructure and alert administrators about issues. There are automated alerts (email/SMS/pager) for server breakdowns, switch/router disconnection, printer ink or database server problems. But how can we integrate these with 4D?  This session will give you the basic background you need to install and use such a system – and integrate 4D Server to monitor their status, including availability, backup and memory.    For the IT administrator, this can be fully integrated into existing systems, allowing enterprise IT departments to monitor your application without learning new tools or techniques. 4D Server’s status can be embedded into administrators’ normal monitoring screen (and further made available in the browser, iPhone, Android, etc.), and the system can furthermore display historical data, such as 4D Server’s cache usage. If you have any large deployments, you cannot miss this session!","1","1","31","2.3333333333333335",
"10","Macros for Developer Productivity","2","Crystal","11:15","12:15","2012-10-24T22:34:00.000Z",,,"Best Practices, Development","Macros are handy development tools that enable a developer to generate blocks of code that would normally have to type repeatedly. The benefit of macros goes beyond time savings. Macros also reduce mistakes since they are done correctly once and create mistake free code repeatedly.  There are many features to 4D Macros, but one of the most powerful features to 4D macros that will be covered in detail is the Method Editor macros and the tagging language – the <method> tag. The <method> tag supports the calling of any 4D Project Method contained in the database. It makes possible features few can imagine can be accomplished from a macro.  Said simply, a macro in v13 is a time and money savings efficiency multiplier that does a lot more than just spit out code. If time is money, macros are gold mine in time savings. This session will contain many examples that will demonstrate techniques of reducing time consuming repetitive task down to a simple menu choice or keyboard shortcut.","1","3","0","4.277272727272727",
"11","Web Basics(static, semi-dynamic, dynamic)","2","Parisien","10:45","11:40","2012-11-15T18:42:00.000Z",,,"Web, Development, Deployment","With the introduction of the new Web server in 4D v13, the Web is more important to 4D applications than ever. That’s why we’d like to remind 4D developers how they can deploy their data using the powerful new Web server.  This session covers the basics of developing and deploying static content and dynamic data on the Web using a simple approach. It will also cover subjects like HTML, JavaScript, CSS, 4D tags, 4D commands for the Web, as well as XML and JSON and other topics that will give developers the foundation to implement such technologies in their applications.","1","1","10","4.25",
"90","Test your JavaScript, Break the build, Be a hero!","3","Gold","15:20","15:50","2012-10-26T21:52:00.000Z","true",,"Ant, EnvJasmine, Jasmine, JavaScript, Maven, Testing, Unit-tests","One of the biggest problems with testing JavaScript is the need for a browser to do it. This makes it hard to integrate your test suite into CI servers, like Jenkins and Anthill Pro. Trevor will show you how to get around this with EnvJasmine to allow you to test your front-end code and get it passing within any CI server that understands how to run Maven, Ant, or Rake jobs.","1","1","0","2.925",
"13","Synchronization from the Master","2","Parisien","16:15","17:10","2012-11-15T22:00:00.000Z",,,"Best Practices","Synchronization is a powerful tool, but it demands that you understand how it functions – you simply must learn the Do’s and Don’t’s of synchronization in 4D. This session will help you understand when to use the synchronization mechanism, how it affects your application, and what your users can gain from it.","1","1","0","4.497368421052632",
"14","Supporting a 4D Enterprise Application: The 24x7 Challenge","2","Gold","13:30","14:30","2012-10-24T22:35:00.000Z",,,"Deployment, Best Practice","What do you do when your 9 to 5, Monday through Friday 4D application becomes a mission critical, 24 hours-a-day, 7 days-a-week, core component of a full-fledged enterprise architecture? Alere Wellbeing will share what they’ve learned over 20 years of supporting  their 4D Quit for Life application. A self-contained tool built to support a small user group has evolved into the heart of a complex network of applications supporting a multi-million dollar program.","1",,"0","3.882142857142857",
"15","Revealing 4D - Commands You Never Knew Existed","2","Regency Ballroom","14:45","15:45","2012-10-24T22:35:00.000Z",,,"Modernization, Development","This session will showcase several commands in 4D v13 that you never knew existed. It will show how to make the best use of them and suggest some awesome code techniques and interfaces for your applications.  Using a fully functional - command-rich and feature-rich - demo application, we will demonstrate the best way to code 4D and its hidden treasures. We will show you:      The 'Never Closing' process!!!     How to grab a copy of your screen in one line of code     The advantage and ease of programing with dynamic variables in your forms     How to quickly create your own component and use it     How easy is to create menus by code and use them     How to mix output and input interfaces in one project form to display any table     All the events that occur and how to trap them   As long time 4D programmers, we tend to stick to what we know. However, several new commands are at our disposal. It’s time to learn about them and how to use them.","1",,"0","4.029411764705882",
"16","Calendars, Reports & Graphics in 4D with hmCal & hmReports","2","Parisien","14:00","14:55","2012-11-15T20:23:00.000Z",,,"Plug-ins, reporting, calendar","Heubach Media would like you to discover their hmCal and hmReports plug-ins. All the advantages and new features of these two products will be reviewed. ","1","1","0","4.308333333333334",
"17","A Tale of Scale","2","Gold","14:45","15:45","2012-10-24T22:35:00.000Z",,,"Optimization, Best Practices, Development","When your system faces unexpected growth, you discover bottlenecks - some you might have expected, and some you might have not. How do you cope when when the pipes start to burst and you’re asked to simply handle ""more""?  In this session, we'll use the example of a simple task processing system and work our way through the kind of 4D design evolution you might see from a system processing hundreds or even thousands of requests to one that needs to handle MILLIONS.","1","1","0","4.4",
"18","Creating Custom Widgets","2","Versaillais","10:45","11:40","2012-11-15T18:41:00.000Z",,,"Modernization, Development","The introduction of custom widgets in 4D v12 marks a significant paradigm shift in the way we design the user interface in 4D. This session will explain how to create custom widgets and use them in your application. Known limits, behavioral exceptions, and coding style recommendations will be thoroughly addressed, saving you time from learning them the hard way. ","1","1","132","4.151162790697675",
"19","Essential Web Security for 4D","2","Crystal","16:00","17:00","2012-10-24T22:35:00.000Z",,,"Web, Best Practices, Development","It’s no secret that the once humble Web browser can enable new avenues of access to your application. However, it opens up a new set of security concerns. This session will explore the various threats to a Web-enabled application and provide a series of best practices to mitigate these threats.","1","1","0","4.746875",
"20","Marketing Roundtable","2","Gold","16:00","17:00","2012-10-24T22:36:00.000Z",,,"Marketing","Marketing Roundtable","1","1","0","4.84",
